2025-02-09 00:01:27.330381 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.338210 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:27.344871 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.350255 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.350513 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 79
2025-02-09 00:01:27.385892 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.390173 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:27.402172 | 192.168.1.5 -> 18.66.63.116 | TLS | Length: 55
2025-02-09 00:01:27.407633 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.407633 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.411010 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:27.453923 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.459050 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:27.465596 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.467232 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
